ลำดับ,รหัสวิชา,ชื่อวิชา,หน่วยกิจ,ประเภทวิชา
102,01203454-60,"Computer Applications in Geotechnical Engineering 
การประยุกต์คอมพิวเตอร์ในงานวิศวกรรมปฐพี",3(2-3-6),T05
103,01203455-60,"Principles of Rock Mechanics and Tunneling 
หลักการกลศาสตร์ของหินและงานอุโมงค์",3(2-3-6),T05
104,01203456-60,"Geo-environmental Engineering 
วิศวกรรมปฐพีสิ่งแวดล้อม",3(3-0-6),T05
105,01203461-60,"Construction Equipment 
เครื่องมือในงานก่อสร้าง",3(3-0-6),T05
106,01203462-60,"Contract, Specification and Construction Estimation 
สัญญา ข้อกำหนดและการประมาณการก่อสร้าง",3(3-0-6),T05
107,01203463-60,"Sustainable Construction 
การก่อสร้างอย่างยั่งยืน",3(3-0-6),T05
108,01203464-60,"Materials and Methods of Construction 
วัสดุและวิธีการก่อสร้าง",3(3-0-6),T05
109,01203465-60,"Computer Applications in Construction 
การประยุกต์คอมพิวเตอร์ในงานก่อสร้าง",3(2-3-6),T05
110,01203466-60,"Construction Project Analysis 
การวิเคราะห์โครงการก่อสร้าง",3(3-0-6),T05
111,01203467-60,"Supervision and Inspection in Construction 
การควบคุมและตรวจสอบงานก่อสร้าง",3(3-0-6),T05
112,01203470-60,"Freight Transportation Planning and Logistics 
การวางแผนการขนส่งสินค้าและโลจิสติกส์",3(3-0-6),T05
113,01203472-60,"Highway Materials 
วัสดุการทาง",3(2-3-6),T05
114,01203473-60,"Traffic Engineering 
วิศวกรรมจราจร",3(3-0-6),T05
115,01203474-60,"Urban Transportation Planning 
การวางแผนการขนส่งเขตเมือง",3(3-0-6),T05
116,01203475-60,"Urban Mass Transportation Planning 
การวางแผนการขนส่งมวลชนเขตเมือง",3(3-0-6),T05
117,01203476-60,"Airport Planning and Design 
การวางแผนและการออกแบบสนามบิน",3(3-0-6),T05
118,01203477-60,"Pavement Structures 
โครงสร้างพื้นผิวทาง",3(3-0-6),T05
119,01203478-60,"Traffic Design and Operations 
การออกแบบและการดำเนินงานการจราจร",3(2-3-6),T05
