รหัสวิชา,ชื่อวิชา,หน่วยกิจ
01203497-56,"Seminar 
สัมมนา",1
01203499-56,"Civil Engineering Project 
โครงงานวิศวกรรมโยธา",1(0-3-2)
01204112-56,"Information Technology for Engineers 
เทคโนโลยีสารสนเทศสำหรับวิศวกร",1(1-2-0)
01206221-56,"Applied Probability and Statistics for Engineers 
ความน่าจะเป็นและสถิตประยุกต์สำหรับวิศวกร",3(3-0-6)
01208221-56,"Engineering Mechanics I 
กลศาสตร์วิศวกรรม I",3(3-0-6)
01209211-56,"Fluid Mechanics 
กลศาสตร์ของของไหล",3(3-0-6)
01209242-56,"Hydrology for Civil Engineering 
อุทกวิทยาสำหรับวิศวกรรมโยธา",3(3-0-6)
01209312-56,"Fluid Mechanics Laboratory 
ปฏิบัติการกลศาสตร์ของของไหล",1(0-3-2)
01209423-56,"Hydraulic Engineering 
วิศวกรรมชลศาสตร์",3(3-0-6)
01203490-56,"Co-operative Education 
สหกิจศึกษา",6
01203496-56,"Selected Topics in Civil Engineering(Advanced concrete) 
เรื่องเฉพาะทางวิศวกรรมโยธา",45352
01203311-56,"Engineering Surveying Technology
เทคโนโลยีการสำรวจทางวิศวกรรม",3(2-3-6)
01203312-56,"Photogrammetry 
การสำรวจด้วยภาพถ่าย",3(2-3-6)
01203411-56,"Aerial Photography Interpretation 
การแปลภาพถ่ายทางอากาศ",3(2-3-6)
01203415-56,"Remote Sensing for Engineers 
การสำรวจข้อมูลระยะไกลสำหรับวิศวกร",3(2-3-6)
01203416-56,"Geographic Information Systems for Engineers 
ระบบสารสนเทศภูมิศาสตร์สำหรับวิศวกร",3(2-3-6)
01203417-56,"Satellite Surveying for Engineers 
การสำรวจด้วยดาวเทียมสำหรับวิศวกร",3(2-3-6)
01203421-56,"Computer Applications in Structural Engineering 
การประยุกต์คอมพิวเตอร์ในงานวิศวกรรมโครงสร้าง",3(2-3-6)
01203422-56,"Structural Damage and Rehabilitation 
ความเสียหายของโครงสร้างและการฟื้นฟูสภาพ",3(3-0-6)
01203431-56,"Prestressed Concrete Design 
การออกแบบคอนกรีตอัดแรง",3(3-0-6)
01203432-56,"Bridge Structural Design 
การออกแบบโครงสร้างสะพาน",3(3-0-6)
01203433-56,"Building Structural Design 
การออกแบบโครงสร้างอาคาร",3(2-3-6)
01203434-56,"Structural Steel Technology 
เทคโนโลยีของเหล็กโครงสร้างง",3(3-0-6)
01203451-56,"Analysis and Design of Earth Structures 
การวิเคราะห์และออกแบบโครงสร้างดิน",3(3-0-6)
01203452-56,"Engineering Soil Exploration 
การสำรวจดินทางวิศวกรรม",3(2-3-6)
01203453-56,"Principles of Geomechanics 
หลักการธรณีกลศาสตร์",3(3-0-6)
01203454-56,"Computer Applications in Geotechnical Engineering 
การประยุกต์คอมพิวเตอร์ในงานวิศวกรรมปฐพี",3(2-3-6)
01203455-56,"Principles of Rock Mechanics and Tunneling 
หลักการกลศาสตร์ของหินและงานอุโมงค์",3(2-3-6)
01203456-56,"Geo-environmental Engineering 
วิศวกรรมปฐพีสิ่งแวดล้อม",3(3-0-6)
01203461-56,"Construction Equipment 
เครื่องมือในงานก่อสร้าง",3(3-0-6)
01203462-56,"Contract, Specification and Construction Estimation 
สัญญา ข้อกำหนดและการประมาณการก่อสร้าง",3(3-0-6)
01203463-56,"Sustainable Construction 
การก่อสร้างอย่างยั่งยืน",3(3-0-6)
01203464-56,"Materials and Methods of Construction 
วัสดุและวิธีการก่อสร้าง",3(3-0-6)
01203465-56,"Computer Applications in Construction 
การประยุกต์คอมพิวเตอร์ในงานก่อสร้าง",3(2-3-6)
01203466-56,"Construction Project Analysis 
การวิเคราะห์โครงการก่อสร้าง",3(3-0-6)
01203467-56,"Supervision and Inspection in Construction 
การควบคุมและตรวจสอบงานก่อสร้าง",3(3-0-6)
01203472-56,"Highway Materials 
วัสดุการทาง",3(2-3-6)
01203473-56,"Traffic Engineering 
วิศวกรรมจราจร",3(3-0-6)
01203474-56,"Urban Transportation Planning 
การวางแผนการขนส่งเขตเมือง",3(3-0-6)
01203475-56,"Urban Mass Transportation Planning 
การวางแผนการขนส่งมวลชนเขตเมือง",3(3-0-6)
01203476-56,"Airport Planning and Design 
การวางแผนและการออกแบบสนามบิน",3(3-0-6)
01203477-56,"Pavement Structures 
โครงสร้างพื้นผิวทาง",3(3-0-6)
