รหัสวิชา,ชื่อวิชา,หน่วยกิจ,
03603422-60,"Wireless and Mobile Networks
เครือข่ายไร้สายและเคลื่อนที่",3(3-0-6),
03603423-60,"Network Programming
การโปรแกรมเครือข่าย",3(3-0-6),
03603424-60,"Computer Networks Laboratory I
ปฏิบัติการเครือข่ายคอมพิวเตอร์ I",1(0-3-2),
03603425-60,"Computer Networks Laboratory II
ปฏิบัติการเครือข่ายคอมพิวเตอร์ II",1(0-3-2),
03603426-60,"Computer Security
ความปลอดภัยในระบบคอมพิวเตอร์",3(3-0-6),
03603427-60,"Mobile Computing
ระบบคอมพิวเตอร์เคลื่อนที่",3(3-0-6),
03603428-60,"Internet of Things
อินเทอร์เน็ตของสรรพสิ่ง",3(3-0-6),
03603411-60,"Functional Programming
การโปรแกรมเชิงฟังชั่น",3(3-0-6),
03603435-60,"Cloud Computing
การคำนวณแบบกลุ่มเมฆ",3(3-0-6),
03603436-60,"Web Application Development
การพัฒนาโปรแกรมประยุกต์บนเว็บ",3(3-0-6),
03603437-60,"Mobile Application Development
การพัฒนาโปรแกรมประยุกต์เคลื่อนที่",3(3-0-6),
03603441-60,"Object-Oriented Analysis and Design
การวิเคราะห์และออกแบบเชิงวัตถุ",3(3-0-6),
03603482-60,"User Experience Design
การออกแบบประสบการณ์ของผู้ใช้",3(3-0-6),
03603484-60,"Computer Game Development
การพัฒนาเกมคอมพิวเตอร์",3(3-0-6),
01204213-60,"Theory of Computaiton
ทฤษฏีการคำนวณ",3(3-0-6),
03603351-60,"Introduction to Data Science
วิทยาศาสตร์ข้อมูลเบื้องต้น",3(3-0-6),
03603452-60,"Data Mining
การทำเหมืองข้อมูล",3(3-0-6),
03603461-60,"Artificial Intelligence
ปัญญาประดิษฐ์",3(3-0-6),
03603462-60,"Statistical Learning
การเรียนรู้เชิงสถิติ",3(3-0-6),
03603463-60,"Biologically-Inspired Computational Intelligence
ปัญญาเชิงคำนวณโดยเลียนแบบวิธีการทางชีวภาพ",3(3-0-6),
03603371-60,"Digital Signal Processing for Computer Engineers
การประมวลผลสัญญาณดิจิทัลสำหรับวิศวกรคอมพิวเตอร์",3(3-0-6),
03603372-60,"Digital Image Processing
การประมวลผลภาพดิจิทัล",3(3-0-6),
03603464-60,"Computer Vision
คอมพิวเตอร์วิทัศน์",3(3-0-6),
03603481-60,"Computer Graphics
เรขภาพคอมพิวเตอร์",3(3-0-6),
03603485-60,"Digital Audio and Computer Music
เสียงดิจิทัลและดนตรีคอมพิวเตอร์",3(3-0-6),
03603495-60,"Computer Engineering and Informatics Project Preparation
การเตรียมโครงงานวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",1(0-3-2),
03603499-60,"Computer Engineering and Informatics Project
โครงงานวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",2(0-6-3),
03603432-60,"Programming Language Concepts
มโนทัศน์ภาษาโปรแกรม",3(3-0-6),
03603451-60,"Information Technology Management
การจัดการเทคโนโลยีสารสนเทศ",3(3-0-6),
03603471-60,"Embedded Systems Interfacing
การเชื่อมต่อกับระบบฝังตัว",3(3-0-6),
03603496-60,"Selected Topics in Computer Engineering and Informatics
เรื่องเฉพาะทางวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",1,
03603498-60,"Special Problems
ปัญหาพิเศษ",1,
03600390-60,"Co-operative Education Preparation
การเตรียมความพร้อมสหกิจศึกษา",3(3-0-6),
03600490-60,"Co-operative Education
สหกิจศึกษา",6,
01999021-65,"Thai Language for Communication
ภาษาไทยเพื่อการสื่อสาร",3(3-0-6),
01355101-65,"English for Everyday Life
ภาษาอังกฤษในชีวิตประจำวัน",3(3-0-6),
01355102-65,"English for University Life
ภาษาอังกฤษในมหาวิทยาลัย",3(3-0-6),
01355103-65,"English for Job Opportunities
ภาษาอังกฤษเพื่อโอกาสในการทำงาน",3(3-0-6),
03754xxx-65,กลุ่มวิชาภาษาอังกฤษเลือก (03754xxx),3(3-0-6),
01999111-65,"Knowledge of the Land
ศาสตร์แห่งแผ่นดิน",2(2-0-4),
